School,Conf,AP Rank,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
Auburn,SEC,1,18,1,84.0,65.3,18.68,12.14,18.74,12.08,30.82,131.28,87.91,43.37
Houston,Big 12,6,16,3,76.7,55.6,21.05,9.06,8.06,22.05,30.12,124.55,78.96,45.59
Duke,ACC,2,18,2,80.0,59.6,20.45,8.39,10.88,17.96,28.84,124.50,82.04,42.47
Florida,SEC,5,18,2,85.3,65.4,19.85,6.24,15.88,10.21,26.09,124.50,88.46,36.03
Alabama,SEC,4,17,3,90.4,78.5,11.85,13.20,23.35,1.70,25.05,125.29,91.76,33.53
Illinois,Big Ten,18,14,6,85.8,69.5,16.30,8.72,17.89,7.14,25.02,121.27,88.05,33.22
Iowa State,Big 12,3,17,3,84.2,67.0,17.20,7.75,14.36,10.59,24.95,121.18,86.67,34.51
Tennessee,SEC,8,17,4,75.0,59.3,15.71,9.06,5.50,19.27,24.77,118.23,82.34,35.89
Gonzaga,WCC,,16,6,89.6,71.6,18.00,5.92,19.27,4.65,23.92,125.66,92.94,32.72
Arizona,Big 12,,14,6,82.9,69.2,13.65,9.88,15.64,7.89,23.53,122.02,89.60,32.41
Kansas,Big 12,11,15,5,77.6,66.0,11.60,11.68,11.07,12.21,23.28,119.07,85.97,33.10
Purdue,Big Ten,10,16,5,77.5,67.5,10.00,12.92,10.22,12.70,22.92,124.65,91.83,32.82
Kentucky,SEC,12,15,5,87.6,75.9,11.75,11.14,19.66,3.23,22.89,126.82,95.96,30.87
Texas Tech,Big 12,22,15,4,81.9,65.1,16.89,5.24,10.90,11.23,22.13,123.78,91.68,32.10
Maryland,Big Ten,,16,5,83.4,65.4,17.95,4.10,12.46,9.59,22.06,120.06,90.34,29.72
Michigan,Big Ten,,15,5,83.2,70.7,12.50,9.44,15.46,6.49,21.94,120.38,90.75,29.64
Michigan State,Big Ten,7,18,2,81.3,67.2,14.05,7.33,11.52,9.86,21.38,119.90,90.12,29.78
Wisconsin,Big Ten,17,16,4,82.5,70.3,12.20,8.67,13.34,7.54,20.87,123.20,94.34,28.86
Marquette,Big East,9,18,3,79.2,67.0,12.24,8.54,11.46,9.31,20.78,120.03,90.77,29.26
Texas A&M,SEC,13,16,5,75.3,65.9,9.43,11.30,7.59,13.14,20.73,117.19,87.50,29.69
St. John's (NY),Big East,15,18,3,79.9,65.1,14.71,5.70,10.46,9.96,20.42,113.45,85.44,28.01
Ohio State,Big Ten,,12,8,79.9,71.0,8.85,10.92,11.08,8.69,19.77,118.22,90.87,27.36
Baylor,Big 12,,13,7,80.4,69.1,11.35,10.55,11.76,7.89,19.65,124.69,96.84,27.86
Louisville,ACC,21,16,5,79.0,69.2,9.76,9.60,11.34,8.02,19.36,119.91,93.22,26.69
Mississippi State,SEC,14,16,4,80.7,69.5,11.15,8.08,11.69,7.54,19.23,120.51,93.50,27.01
Mississippi,SEC,23,15,5,77.8,66.4,11.40,7.30,8.50,10.20,18.70,115.84,89.48,26.36
Missouri,SEC,20,16,4,83.2,69.0,14.20,4.41,11.26,7.35,18.61,120.80,95.01,25.79
Brigham Young,Big 12,,14,6,81.0,67.4,13.65,4.58,11.64,6.58,18.23,121.88,96.14,25.74
UCLA,Big Ten,,15,6,75.9,65.0,10.86,7.29,5.22,12.93,18.15,117.08,91.44,25.63
Oregon,Big Ten,16,16,4,77.9,70.3,7.60,10.44,10.37,7.67,18.04,118.11,92.78,25.33
Pittsburgh,ACC,,14,6,79.9,70.7,9.20,8.81,10.63,7.39,18.01,119.56,94.68,24.88
Texas,SEC,,14,6,78.9,66.3,12.60,4.82,8.77,8.65,17.42,119.04,94.55,24.49
Connecticut,Big East,25,14,6,80.4,69.0,11.45,5.70,9.66,7.50,17.15,123.08,98.92,24.16
Saint Mary's (CA),WCC,,18,3,76.7,61.3,15.38,2.99,4.45,12.69,17.14,118.66,92.89,25.77
Georgia,SEC,,15,6,76.1,66.1,9.95,6.93,5.68,11.20,16.88,114.54,90.95,23.58
Clemson,ACC,,17,4,77.4,66.5,10.86,5.85,6.41,10.30,16.71,119.61,95.07,24.54
Creighton,Big East,,14,6,75.5,68.3,7.25,9.38,7.85,8.79,16.63,116.12,92.58,23.54
Vanderbilt,SEC,24,16,4,81.9,69.6,12.30,4.05,11.77,4.58,16.35,118.47,95.79,22.68
