Rk,School,G,W,L,W-L%,SRS,SOS,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,20,9,11,.450,-7.36,-0.30,1397,1407,800,502,1129,.445,91,312,.292,302,434,.696,220,677,265,199,60,305,405
2,Air Force,19,3,16,.158,-6.05,0.32,1214,1335,765,416,936,.444,157,453,.347,225,364,.618,140,565,259,113,56,253,337
3,Akron,18,13,5,.722,3.16,-3.03,1498,1315,725,543,1200,.453,205,569,.360,207,274,.755,233,734,332,144,68,224,326
4,Alabama,19,16,3,.842,25.27,13.16,1727,1497,765,581,1224,.475,191,587,.325,374,530,.706,270,851,325,120,98,243,356
5,Alabama A&M,18,6,12,.333,-20.66,-6.73,1364,1450,735,477,1163,.410,148,460,.322,262,403,.650,279,703,266,157,84,301,390
6,Alabama State,18,7,11,.389,-9.88,-4.53,1373,1413,725,480,1152,.417,171,508,.337,242,357,.678,214,641,218,134,44,173,346
7,Albany (NY),21,10,11,.476,-9.78,-7.00,1593,1583,850,586,1319,.444,145,462,.314,276,379,.728,245,703,256,180,34,229,398
8,Alcorn State,18,3,15,.167,-15.11,1.59,1109,1399,725,395,1042,.379,104,323,.322,215,301,.714,234,625,185,113,52,271,317
9,American,20,11,9,.550,-8.17,-4.61,1387,1389,815,480,1082,.444,171,497,.344,256,339,.755,156,603,257,127,44,234,378
10,Appalachian State,19,11,8,.579,1.19,-0.39,1308,1185,760,462,1028,.449,151,429,.352,233,359,.649,182,710,254,119,72,217,266
11,Arizona,18,12,6,.667,22.98,9.26,1493,1246,725,531,1100,.483,122,377,.324,309,412,.750,223,720,302,149,71,205,298
12,Arizona State,18,11,7,.611,13.62,10.90,1336,1287,725,458,1029,.445,157,433,.363,263,372,.707,179,665,241,101,93,241,291
13,Arkansas,19,12,7,.632,15.24,6.61,1461,1297,760,535,1142,.468,136,419,.325,255,353,.722,191,689,281,145,111,221,305
14,Arkansas State,20,15,5,.750,5.87,-1.39,1568,1387,810,533,1288,.414,185,592,.313,317,439,.722,265,824,266,145,93,209,379
15,Arkansas-Pine Bluff,18,3,15,.167,-26.64,-2.89,1345,1624,720,504,1091,.462,137,433,.316,200,323,.619,178,616,254,122,38,280,366
16,Army,19,11,8,.579,-10.44,-6.79,1445,1415,780,541,1184,.457,175,512,.342,188,283,.664,192,683,294,129,45,209,276
17,Auburn,18,17,1,.944,31.18,11.57,1543,1190,720,557,1109,.502,178,466,.382,251,337,.745,205,685,313,127,127,167,319
18,Austin Peay,20,8,12,.400,-10.82,-0.93,1345,1456,805,466,1180,.395,161,492,.327,252,356,.708,198,648,226,162,49,215,355
19,Ball State,18,9,9,.500,-7.04,-5.31,1372,1321,720,453,975,.465,133,381,.349,333,475,.701,163,641,239,98,37,225,297
20,Baylor,18,12,6,.667,19.58,10.05,1443,1227,735,528,1144,.462,166,455,.365,221,309,.715,241,663,290,156,60,195,279
21,Bellarmine,20,3,17,.150,-17.12,-2.40,1402,1598,800,499,1102,.453,178,505,.352,226,287,.787,144,605,285,117,32,260,310
22,Belmont,20,14,6,.700,1.42,0.05,1624,1575,805,584,1249,.468,208,564,.369,248,339,.732,196,715,347,133,63,233,316
23,Bethune-Cookman,18,7,11,.389,-7.74,-1.57,1176,1287,720,418,1029,.406,109,345,.316,231,332,.696,165,609,186,136,67,236,300
24,Binghamton,20,9,11,.450,-14.62,-7.92,1394,1435,810,503,1069,.471,151,397,.380,235,344,.683,173,690,280,96,65,278,355
25,Boise State,20,13,7,.650,13.16,4.21,1554,1349,805,537,1120,.479,140,435,.322,340,438,.776,210,735,301,106,55,224,315
26,Boston College,19,9,10,.474,-2.61,1.86,1319,1404,765,470,1083,.434,115,336,.342,264,364,.725,208,663,209,91,70,231,348
27,Boston University,20,9,11,.450,-11.51,-7.14,1300,1345,805,465,1068,.435,160,478,.335,210,336,.625,212,707,242,113,51,276,312
28,Bowling Green State,19,7,12,.368,-9.34,-4.81,1449,1437,760,504,1131,.446,158,458,.345,283,376,.753,186,650,217,149,59,230,336
29,Bradley,20,17,3,.850,9.40,-1.34,1623,1353,815,559,1141,.490,209,507,.412,296,377,.785,176,707,317,155,77,243,327
30,Brigham Young,18,12,6,.667,16.55,3.16,1447,1206,730,521,1091,.478,187,521,.359,218,320,.681,220,706,308,135,64,214,286
31,Brown,16,9,7,.563,-5.51,-3.31,1161,1153,655,428,949,.451,139,399,.348,166,259,.641,186,578,240,99,82,202,244
32,Bryant,20,11,9,.550,-2.64,-4.69,1664,1526,805,607,1317,.461,169,476,.355,281,392,.717,263,817,296,146,113,258,317
33,Bucknell,20,8,12,.400,-7.37,-2.87,1397,1487,840,485,1135,.427,160,500,.320,267,411,.650,176,680,255,137,65,280,359
34,Buffalo,18,6,12,.333,-14.79,-1.11,1292,1467,720,451,1064,.424,145,478,.303,245,361,.679,144,621,256,128,70,262,284
35,Butler,19,8,11,.421,9.74,9.10,1378,1366,765,448,1003,.447,149,409,.364,333,452,.737,164,671,264,69,60,216,279
36,Cal Poly,20,6,14,.300,-5.55,2.40,1584,1702,815,557,1244,.448,218,644,.339,252,335,.752,214,716,311,151,43,341,359
37,Cal State Bakersfield,20,10,10,.500,-4.52,-1.19,1491,1433,805,523,1178,.444,134,342,.392,311,409,.760,258,728,199,138,55,256,422
38,Cal State Fullerton,21,6,15,.286,-10.58,1.32,1361,1548,840,455,1096,.415,97,353,.275,354,465,.761,204,679,190,132,34,298,407
39,Cal State Northridge,19,13,6,.684,2.08,-5.16,1552,1346,765,558,1176,.474,129,375,.344,307,436,.704,239,774,313,158,62,256,392
40,California,19,10,9,.526,5.78,5.26,1427,1417,760,484,1117,.433,137,413,.332,322,428,.752,253,702,195,106,73,225,311
41,California Baptist,19,9,10,.474,-0.96,-0.64,1382,1388,770,499,1162,.429,124,419,.296,260,342,.760,235,696,226,119,48,219,307
42,Campbell,20,9,11,.450,-6.17,-4.67,1406,1343,800,489,1116,.438,145,459,.316,283,361,.784,155,629,265,147,57,212,323
43,Canisius,19,2,17,.105,-17.91,-3.33,1240,1517,760,450,1042,.432,162,443,.366,178,229,.777,118,504,229,101,47,223,300
44,Central Arkansas,20,5,15,.250,-14.28,-3.90,1436,1546,825,508,1288,.394,182,633,.288,238,332,.717,249,751,280,167,46,234,278
45,Central Connecticut State,19,13,6,.684,-4.79,-7.67,1362,1215,760,519,1088,.477,138,402,.343,186,262,.710,166,670,278,136,80,211,223
46,Central Michigan,18,8,10,.444,-5.16,1.84,1325,1273,720,482,1063,.453,122,387,.315,239,333,.718,195,666,248,144,55,238,300
47,Charleston Southern,21,6,15,.286,-9.67,-0.14,1539,1656,855,516,1226,.421,152,504,.302,355,554,.641,255,802,253,103,57,270,366
48,Charlotte,20,8,12,.400,-5.16,-1.16,1406,1460,810,457,1095,.417,127,433,.293,365,494,.739,180,652,244,102,44,192,340
49,Chattanooga,20,12,8,.600,-1.59,-2.98,1544,1452,810,547,1164,.470,194,557,.348,256,331,.773,168,665,339,127,47,217,317
50,Chicago State,21,2,19,.095,-19.85,-1.08,1263,1657,840,446,1212,.368,142,483,.294,229,343,.668,187,665,218,159,76,296,429
51,Cincinnati,18,12,6,.667,15.30,4.69,1302,1111,720,494,1086,.455,136,420,.324,178,273,.652,214,666,261,131,89,181,245
52,Clemson,20,16,4,.800,16.56,5.91,1553,1340,815,551,1180,.467,186,475,.392,265,341,.777,221,698,295,153,67,213,303
53,Cleveland State,21,15,6,.714,-1.69,-3.86,1558,1359,840,573,1265,.453,134,408,.328,278,381,.730,263,721,297,201,97,247,371
54,Coastal Carolina,20,8,12,.400,-11.20,-6.48,1372,1410,805,478,1084,.441,149,436,.342,267,379,.704,198,740,238,76,33,249,358
55,Colgate,20,9,11,.450,-4.76,-3.55,1411,1401,800,524,1145,.458,179,509,.352,184,260,.708,154,657,280,130,46,229,296
56,College of Charleston,20,15,5,.750,1.39,-1.30,1573,1499,810,540,1202,.449,170,478,.356,323,420,.769,177,728,324,132,41,243,324
57,Colorado,18,9,9,.500,8.45,7.28,1320,1299,730,451,980,.460,125,366,.342,293,384,.763,165,633,281,142,69,272,294
58,Colorado State,19,12,7,.632,10.01,4.38,1409,1302,775,508,1089,.466,157,476,.330,234,298,.785,154,679,323,90,61,236,337
59,Columbia,16,11,5,.688,-2.77,-6.62,1302,1153,640,468,952,.492,152,410,.371,214,282,.759,162,577,299,130,36,186,237
60,Connecticut,19,14,5,.737,17.43,5.16,1536,1303,775,550,1114,.494,178,484,.368,258,330,.782,199,657,368,108,129,192,363
61,Coppin State,19,3,16,.158,-21.06,-1.34,1146,1475,760,398,1037,.384,92,323,.285,258,379,.681,181,566,204,154,24,278,335
62,Cornell,16,10,6,.625,0.40,-3.68,1385,1235,640,507,982,.516,173,464,.373,198,270,.733,147,558,325,105,54,203,257
63,Creighton,19,13,6,.684,16.27,9.96,1431,1311,760,508,1077,.472,185,534,.346,230,304,.757,154,718,321,77,93,246,199
64,Dartmouth,16,7,9,.438,-9.83,-6.18,1256,1172,645,429,987,.435,170,476,.357,228,313,.728,151,586,259,99,35,182,253
65,Davidson,19,12,7,.632,3.03,0.37,1445,1356,760,520,1100,.473,160,444,.360,245,339,.723,157,649,301,108,42,184,290
66,Dayton,20,14,6,.700,11.22,5.01,1522,1383,805,527,1106,.476,159,435,.366,309,428,.722,186,681,323,139,67,206,301
67,Delaware,20,11,9,.550,-5.78,-4.84,1581,1554,800,547,1164,.470,184,484,.380,303,388,.781,154,678,288,120,68,243,340
68,Delaware State,19,9,10,.474,-12.42,-4.22,1455,1364,760,545,1201,.454,96,268,.358,269,367,.733,245,718,266,152,56,228,339
69,Denver,22,7,15,.318,-13.26,-2.94,1604,1753,895,559,1272,.439,172,491,.350,314,427,.735,196,663,265,149,46,268,488
70,DePaul,20,10,10,.500,5.83,3.93,1513,1475,820,523,1179,.444,206,563,.366,261,367,.711,208,729,337,117,70,260,331
71,Detroit Mercy,21,6,15,.286,-12.55,-1.70,1401,1579,855,508,1252,.406,119,349,.341,266,367,.725,262,798,223,128,46,274,395
72,Drake,19,17,2,.895,8.69,-0.37,1359,1098,765,473,965,.490,130,368,.353,283,402,.704,199,598,267,172,46,225,297
73,Drexel,20,11,9,.550,-4.04,-5.25,1389,1314,805,523,1152,.454,149,436,.342,194,283,.686,228,752,262,102,88,249,292
74,Duke,18,16,2,.889,30.28,8.50,1463,1071,720,512,1056,.485,188,501,.375,251,330,.761,200,711,312,120,66,181,283
75,Duquesne,19,9,10,.474,1.69,1.19,1314,1257,765,472,1093,.432,165,467,.353,205,319,.643,225,668,274,129,88,225,334
76,East Carolina,20,11,9,.550,0.63,-0.20,1519,1440,815,532,1232,.432,127,424,.300,328,463,.708,277,770,249,158,88,225,322
77,East Tennessee State,20,12,8,.600,0.91,-5.26,1497,1337,800,541,1218,.444,179,510,.351,236,366,.645,275,760,279,163,74,234,349
78,East Texas A&M,19,2,17,.105,-13.59,0.25,1213,1476,760,438,1054,.416,152,510,.298,185,303,.611,199,595,246,157,67,314,334
79,Eastern Illinois,19,5,14,.263,-14.77,-2.70,1313,1396,770,483,1120,.431,100,314,.318,247,381,.648,211,663,220,163,57,242,355
